City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI
Amritsar,2019-11-07,34.94,71.87,17.16,9.95,26.82,13.01,0.55,8.74,15.72,1.59,1.94,1.98,212
Visakhapatnam,2019-09-30,32.77,99.56,32.53,32.42,43.7,10.69,1.32,9.55,13.14,4.6,15.39,4.67,98
Delhi,2019-07-25,22.79,63.51,16.78,33.52,33.55,37.17,0.94,8.76,22.78,1.69,17.02,0.18,98
Chandigarh,2019-12-30,72.34,140.37,38.14,16.28,36.66,26.86,1.04,6.59,6.52,8.77,5.1,1.28,102
Patna,2020-04-04,54.28,99.59,48.09,48.52,53.03,12.07,1.47,11.9,22.33,0.72,3.72,1.03,125
Visakhapatnam,2019-02-01,53.84,106.93,11.78,51.62,37.03,10.88,0.84,7.87,83.16,2.56,5.05,1.38,116
Amritsar,2019-05-07,65.93,129.11,33.11,38.61,54.08,50.39,0.97,45.27,29.9,6.59,2.31,10.58,119
Gurugram,2020-05-24,56.3,154.36,3.81,21.9,10.69,17.11,0.91,7.56,55.27,5.75,3,2.17,150
Delhi,2019-11-21,217.7,363.77,104.83,91.65,135.9,44.56,3,19.85,48.43,8.84,71.87,5.87,375
Amritsar,2018-02-21,54.32,166.52,14.04,9.71,34.15,10.82,0.67,4.71,17.76,9.99,7.7,6.06,154
Visakhapatnam,2018-09-23,38.46,101.61,17.9,28.05,29.47,6.47,0.45,1.31,40.03,4.26,11.1,3.97,114
Hyderabad,2019-12-05,82.44,152.49,10.1,47.96,32.55,15.47,0.92,8.32,27.09,2.88,18.28,0.69,172
Delhi,2018-07-17,34.26,84.78,11.89,30.73,28.81,41.85,0.87,10.2,31.96,1.53,28.84,0.85,105
Gurugram,2020-03-30,32,57.58,4.84,12.76,8.93,42.26,0.55,18.56,58.39,3.7,7.13,16.34,80
Amritsar,2019-07-10,52.38,135.9,22.33,16.7,25.97,11.78,0.34,7.4,23.79,2.27,0.86,5.37,89
Amaravati,2020-01-10,51.22,84.62,3.18,21.49,14.02,17.07,0.67,20.19,36.26,0.85,4.41,0.21,70
Visakhapatnam,2018-03-05,47.48,133.72,10.51,51.33,35.96,12.15,0.83,20.42,24.56,5.41,12.49,2.99,121
Delhi,2018-09-13,27.49,115.88,19.96,23.21,30.78,20.34,0.63,11.24,23.11,1.28,24.6,0.03,108
Amritsar,2018-01-13,103.52,189.41,7.5,78.17,86.29,14.23,1.66,3.32,19.76,6.81,10.37,9.68,237
Chandigarh,2020-04-10,12.37,35.91,1.98,11.89,7.79,36.11,0.47,9.6,20.02,3.23,0.56,1.14,36
Hyderabad,2016-11-08,60.51,107.1,8.57,36.85,12.13,25.37,0.47,38.63,66.96,0.13,2.09,0.35,112
Visakhapatnam,2019-11-15,59.7,108.74,2.79,35.91,21.37,30.83,1.11,5.88,74.13,3.08,8.74,1.42,110
Hyderabad,2016-02-05,68.56,107.67,6.71,13.49,18.84,10.61,0.98,9.9,35.46,0.53,4.01,0.24,174
Amritsar,2017-10-24,71.13,191.27,19.23,40.37,59.6,56.56,1.03,4.28,11.79,2.37,6.8,24.64,229
Amritsar,2020-06-06,15.5,24.76,21.22,15.84,30.45,13.12,0.77,8.67,39.85,1.3,1.1,8.72,41
Hyderabad,2018-04-04,44.94,91.88,4.18,39.39,24.13,15.22,0.72,5.82,50.85,1.04,3.64,1.55,101
Delhi,2019-03-01,93.83,181.26,37.55,48.87,60.61,30.2,1.17,15.81,37.75,3.02,33.92,0.72,222
Kolkata,2019-08-11,45.57,75.21,30.54,34.18,64.04,10.32,0.79,5.42,17.37,17.23,18.64,4.85,105
Hyderabad,2019-11-07,70.7,125.56,4.46,27.89,17.71,15.01,0.65,6.2,31.05,0.62,5.76,0.22,155
Amaravati,2019-10-30,18.54,35.57,6.02,13.63,12.23,8.18,0.62,12.08,28.76,0.2,2.33,0.22,48
Hyderabad,2017-01-30,62.96,124.01,19.88,60.35,16.06,25.86,0,19.96,56.94,0.06,0.75,0.08,129
Hyderabad,2019-03-13,41.23,112.41,3.02,30.87,18.66,10.46,0.5,5.42,35.6,1.14,7.24,0.95,101
Hyderabad,2018-12-08,76.14,122.93,4.44,34.16,20.56,12.1,0.71,4.23,36.84,2.47,9.73,1.3,132
Visakhapatnam,2019-02-21,51.81,115.7,24.02,36.12,38.74,9.88,0.83,15.92,17.11,2.06,3.88,0.9,98
Hyderabad,2019-02-21,39.32,89.56,4.07,35.72,22.13,12.13,0.54,4.09,27.44,1.09,6.5,0.66,82
Hyderabad,2018-09-15,43.69,89.53,6.25,36.45,24.05,14.45,0.51,6.77,27.22,2.99,37.23,5.4,92
Delhi,2018-03-25,85.34,190.95,11.77,34.66,41.31,37.35,0.96,15.57,54.47,1.74,2.91,0,202
Delhi,2019-06-30,65.24,270.03,22.46,33.03,39.12,25.87,1.04,12.82,44.4,2.7,22.73,0.75,234
Hyderabad,2017-06-06,17.77,57.12,7.71,21.89,6.76,17.36,0.09,4.06,54.65,0.02,0.46,0.22,97
Amaravati,2020-06-28,16.65,28.51,1.43,8.32,5.59,9.77,0.66,10.86,37.34,0.1,0.43,0.12,49
Patna,2020-03-04,95.29,216.9,65.98,50.6,96.2,25.75,1.19,8.18,23.25,2.63,6.29,0.78,214
Delhi,2015-04-24,143.22,313.53,42.58,88.61,108.55,36.5,6.42,26.89,89.42,5.63,22.15,4.61,383
Delhi,2020-06-09,64.77,148.67,11.04,32.01,28.36,33.83,1.01,15.06,49.14,2.23,27.6,1,138
Delhi,2018-11-22,139.02,292.92,91.36,74.93,120.74,42.27,2.09,16.89,37.22,6.05,56.92,0.92,317
Delhi,2019-04-01,59.08,170.14,11.3,38.55,32.02,27.21,0.88,20.09,54.95,2.46,14.87,0.58,153
Delhi,2018-08-09,36.84,91.15,17.18,24.98,29.1,38.58,0.89,9.85,34.11,1.37,21.43,0.47,102
Hyderabad,2020-05-25,33.07,97.27,5.23,22.72,15.57,18.83,0.44,5.94,38.23,1.02,5.27,0.38,102
Amritsar,2020-04-19,11.33,30.5,18.12,11.33,27.79,12.74,0.82,8.85,43.02,1.35,1.54,2,44
Delhi,2017-11-07,517.93,654.68,51.67,65.17,103.77,91.87,2.37,15.29,56.06,5.11,26.96,0.06,532
Visakhapatnam,2016-07-17,41.11,94.44,12.29,48.83,32.94,13.17,1.1,7.73,29.34,6.08,6.32,4.32,102
Amaravati,2020-03-15,25.83,45.42,2.21,7.94,6.02,9.82,0.47,22.1,28.67,0.18,0.78,0.19,48
Chandigarh,2019-12-31,77.06,145.42,49.23,14.74,48.79,24.95,1.24,7.27,6.62,10.96,0.42,0.72,206
Visakhapatnam,2018-09-18,41.23,104.04,10.84,40.65,30.44,8.51,1.01,2.47,25.53,5.4,12.87,5.14,100
Delhi,2018-12-16,150.28,252.01,42.76,50.86,65.32,45.92,1.42,15.76,32.7,4.34,31.02,0.78,295
Hyderabad,2016-12-29,60.05,98.82,9.38,58.31,14.69,24.76,0.48,10.11,57.89,0.04,0.69,0.92,124
Visakhapatnam,2018-05-11,9.35,58.97,6.29,23.46,17.59,8.95,0.41,11.06,21.44,3.45,6.63,2.08,77
Amaravati,2018-04-03,22.29,55.96,4.38,11.27,9.64,10.88,0.67,8.08,19.63,0.03,1.85,0.1,56
Amritsar,2019-08-09,21.42,44.31,8.6,9.28,17.6,10.27,0.15,5.62,12,3.85,1.16,4.09,54
Hyderabad,2020-04-28,23.36,53.68,7.68,19.73,15.18,12.67,0.39,3.72,23.68,0.63,3.39,0.05,56
Hyderabad,2017-01-05,96.21,162.27,10.97,57.6,13.18,36.67,0,25.88,45.66,0.06,1.2,0.53,276
Patna,2020-06-17,19.12,47.75,27.08,37.94,25.83,3.54,0.87,2.68,16.42,1.61,3.45,0.75,53
Delhi,2020-05-01,61.04,143.11,11.8,18.46,20.45,36.43,0.89,17.52,56.81,1.96,11.92,0,140
Delhi,2018-05-25,83.88,249.82,42.75,59.34,63.04,36.45,1.31,12.73,48.95,4.03,6.57,0,260
Amritsar,2018-02-04,50.4,131.72,57.49,70.81,141.86,14.1,0.66,2.66,14,11.04,7.43,5.76,165
Visakhapatnam,2017-01-25,68.84,118.21,4.66,30,16.93,14.17,1.05,7.12,94.31,7.01,12.18,5.25,101
Hyderabad,2019-04-03,45.6,116.3,4.55,34.95,22.16,16.25,0.67,5.57,36.41,1.88,11.7,0.97,106
Delhi,2019-11-11,252.48,380.54,45.96,61.36,75.05,37.01,1.79,15.18,42.35,4.56,39.67,0.83,376
Hyderabad,2018-02-26,56.87,119.73,22.13,65.82,52.86,19.58,1.09,9.89,40.48,2.74,16.8,3.72,118
Visakhapatnam,2019-05-22,32.84,120.24,14.11,32.44,28.73,17.9,0.67,13.58,11.28,1.49,2.2,0.46,115
Kolkata,2019-11-28,74.28,156.41,45.84,47.44,92.95,24.42,1.13,8.09,35.04,35.92,44.37,5.88,211
Visakhapatnam,2020-05-23,15.91,81.11,3.27,23.59,14.25,13.57,0.11,8.48,37.58,2.55,2.85,0.7,79
Delhi,2019-05-21,77.78,194.58,20.21,47.58,44.25,32.12,1.21,20.15,55.06,3.66,22.84,0.17,206
Hyderabad,2020-03-26,29,60.99,7.92,12.23,11.39,9.25,0.37,5.14,29.13,1.05,7.17,0.18,59
Delhi,2018-12-28,249.23,387.84,39.19,60.59,68.5,55.46,1.66,14.8,37.38,5.4,30.25,0.47,413
Delhi,2018-11-02,205.44,373.61,57.41,65.98,86.56,51.21,1.99,19.65,46.13,7.93,64.64,2.6,391
Visakhapatnam,2020-02-24,54.71,153.34,2.39,45.3,25.88,13.5,1.28,3.14,20.21,6.52,15.24,4.93,134
Visakhapatnam,2020-01-02,49.66,90.22,3.23,29.88,18.51,11.38,1.08,8.97,59.28,4.79,8.17,1.33,94
Amaravati,2018-01-22,78.27,142.86,5.98,45.36,29.01,19.12,0.06,10.32,58.53,0.16,5.57,0.06,160
Hyderabad,2017-12-18,73.33,143.78,3.67,37.36,23.1,16.89,0.59,22.04,56.42,3.5,20.96,2.12,140
Delhi,2015-10-07,144.04,305.35,25.78,57.05,78.07,37.01,1.73,11.15,49.32,4.97,12.91,3.37,383
Kolkata,2019-08-28,24.71,40.02,15.78,21.28,35.58,11.55,0.5,3.24,16.55,22.24,11.61,1.63,51
Kolkata,2019-10-13,69.61,108.35,15.77,29.86,45.64,9.41,0.74,6.85,32.84,11.91,12.83,3.65,116
Hyderabad,2015-12-27,79.52,97.83,5.14,14.89,18.53,10.38,1.26,17.09,61.51,1.78,7.98,1.53,176
Amritsar,2020-06-07,26.99,43.07,21.13,15.1,30.36,12.77,0.59,6.56,40.04,1.3,1.1,8.81,42
Hyderabad,2018-03-11,53.02,108.18,2.68,35.56,20.92,19.08,0.79,6.94,57.23,1.05,4.32,1.13,124
Hyderabad,2016-01-15,56.01,104.73,5.12,7.15,10.77,10.4,0.73,7.28,68.31,0.55,2.62,0.22,155
Amaravati,2019-07-09,11.3,31.96,4.61,23.47,16.32,1.62,0.28,17.09,27.47,0.11,0.82,0.15,37
Visakhapatnam,2017-02-16,103.57,205.91,44.55,67.56,72.12,14.22,1.74,31.92,40.03,8.81,15.57,4.77,219
Chandigarh,2019-11-15,96.95,162.86,4.57,17.22,13.93,1,0.85,10.64,12.77,1.5,5.61,3.76,245
Hyderabad,2018-09-05,27.05,87.39,5.13,26.36,17.59,11.1,0.38,8.05,14.3,1.77,14.34,19.46,72
Hyderabad,2016-12-22,58.12,96.04,8.65,67.71,13.14,42.78,0.36,44.42,49.82,0.07,1.16,1.32,102
Hyderabad,2015-10-04,42.69,59.29,3.02,17.81,13.74,14.41,1.22,5.41,21.98,1.35,6.71,1.21,85
Hyderabad,2018-06-15,27.83,86.25,2.8,20.05,12.92,22.11,0.57,9.66,20.79,0.37,3.67,0.48,86
Visakhapatnam,2019-09-25,15.48,34.22,25.39,31.57,37.43,3.7,0.93,13.94,15,4.6,10.74,3.93,84
Delhi,2020-02-11,176.57,306.12,83.94,60.12,107.57,39.73,1.89,14.37,37.22,6.65,40.82,4.01,347
Delhi,2019-12-08,239.98,355.16,109.28,68.59,137.04,58.01,2.88,13.69,32.51,8.02,58.12,5.55,404
Visakhapatnam,2019-04-15,28.84,107.04,20.1,36.27,35.64,6.95,0.84,16.08,7.94,3.54,5.54,1.46,89
Hyderabad,2019-11-19,82.72,159.66,3.29,32.85,19.65,15.59,0.68,9.84,44.86,5.01,30.64,6.97,165
Hyderabad,2017-06-23,11.48,37.59,8.5,15.64,8.41,5.32,0.18,5.22,29.81,0.08,1.11,0.31,67
Visakhapatnam,2019-01-22,129.7,254.44,20.44,59.43,48.23,11,1.24,16.05,17.55,5.88,9.23,4.31,315
Amritsar,2019-07-20,36.65,64.81,13.68,11.3,21.67,12.08,0.53,8,18.76,3.59,1.14,9.62,61
Hyderabad,2020-06-10,20.26,42.43,7.09,21.57,16.09,15.23,0.28,5.72,17.59,1.2,8.26,2.59,48
Delhi,2019-06-12,59.86,240.88,16.55,30.46,30.61,34.98,0.92,11.57,62.12,1.98,14.48,0.28,280
Visakhapatnam,2019-08-27,35.18,105.31,4.73,9.73,9.03,5.14,0.79,9.85,22.84,5.29,10.53,3.71,108
Hyderabad,2018-01-31,53.45,141.76,14.36,59.99,44.33,20.39,1,20.33,40.67,5.96,41.6,10.09,130
Amritsar,2019-07-02,35.45,85.48,11.67,10.73,21.03,19.23,0.46,7.28,28.92,3.99,2.05,9.95,86
Delhi,2018-06-15,153.28,613.34,12.05,24.61,29.31,26.27,0.7,7.31,40.15,2.98,10.64,0,593
Kolkata,2020-05-28,15.07,31.97,3.48,10.72,14.26,8.75,0.41,5.29,31.07,1.59,9.18,0.76,47
Kolkata,2020-01-13,89.03,191.22,68.05,59.86,119.82,28.94,1.27,15.24,35.6,28.82,35.47,3.83,184
Delhi,2015-02-09,134.67,109.86,19.95,39.18,44.48,74.29,5.11,9.7,20.62,2.59,3.17,1.24,266
Hyderabad,2015-11-18,46.31,92.72,8.21,6.58,11.61,5.94,0.84,9.58,30.33,0.97,5.09,1.1,102
Visakhapatnam,2018-10-19,145,209.56,9.88,50.73,35.02,13.74,0.78,13.31,66.45,6.57,15.11,4.89,181
Amaravati,2020-06-27,14.5,24.43,1.53,6.53,4.72,8.97,0.55,13.75,33.76,0.06,0.27,0.15,42
Hyderabad,2019-03-23,43.36,111.13,3.68,37.47,22.74,13.78,0.73,6.14,31.37,1.74,15.13,1.45,101
Amritsar,2020-04-13,29.47,59.84,17.65,11.55,27.61,12.12,0.59,9.63,22.14,1.65,1.98,2,52
Delhi,2020-02-23,105.71,182.2,41.97,42.24,61.5,38.33,1.26,14.3,35.15,3.51,27.78,1.56,221
Hyderabad,2020-02-29,42.44,94.49,3.45,25.56,16.14,21.76,0.51,4.91,33.3,1.81,8.26,0.82,91
Visakhapatnam,2018-07-03,38.8,86.26,2.42,44.72,25.19,11.77,0.5,13.39,18.01,4.59,15.15,4.1,80
Amritsar,2018-02-16,68.32,181.17,18.6,30.42,53.75,13.4,1.53,5.1,12.65,9.66,7.47,5.87,129
Gurugram,2020-04-21,33.79,72.37,4.95,14.88,9.68,36.66,0.68,10.67,66.92,7.41,3.52,2.97,105
Amaravati,2019-11-02,18.41,39.48,7.8,11.45,12.51,7.12,0.6,11.51,31.08,0.16,1.6,0.16,49
Visakhapatnam,2020-06-04,19.14,77.06,4.12,35.57,22.18,8.82,0.68,7.19,25.56,3.06,8.18,1.61,71
Hyderabad,2017-03-28,51.42,128.17,9.57,38.28,10.72,16.62,0.16,10.89,57.96,0.09,1.07,0.21,154
Patna,2020-02-18,78.63,182.42,46.99,63.36,108.66,33.3,1.1,6.31,21.54,3.19,7.22,1.83,184
Amaravati,2019-04-15,23.75,68.9,1.94,11.38,7.46,3.49,0.64,18.42,19.94,0.33,2.13,0.18,84
Delhi,2018-11-11,256.68,425.12,91.92,70.55,113.81,55.03,2.89,16.2,51.68,9.37,71.1,3.79,454
Delhi,2018-07-10,47.48,112.45,7.74,28.19,24.09,47.18,0.81,10.92,43.89,1.07,17.31,0.24,140
Patna,2020-01-29,132.55,208.53,62.27,37.57,96.2,35.33,1.18,10.48,19.53,1.22,10.04,2.18,279
Kolkata,2019-11-02,75.18,157.84,19.95,46.23,66.18,18.4,0.9,10.2,37.77,10.12,16.57,2.41,195
Amaravati,2018-12-21,48.88,84.99,6.61,63.12,38.95,19.24,0.94,29.45,23.97,0.06,0.16,0.11,81
Hyderabad,2018-05-15,24.49,46.54,2.67,24.04,14.76,12.94,0.68,4.84,51.51,0.53,2.9,0.49,87
Visakhapatnam,2018-08-17,25.69,69.31,12.56,42.03,32.56,35.17,0.53,8.05,9.7,4.41,11.32,3.77,87
Hyderabad,2017-10-10,28.04,46.53,26.06,24.18,6.08,8.55,0.1,8.63,70.62,0.66,3.27,0.25,103
Hyderabad,2018-09-04,20.36,66.88,7.58,25.6,19.27,14.84,0.31,7.74,13.86,1.35,11.11,9.86,50
Amritsar,2019-05-15,69.3,135.22,12.01,9.09,21.09,6.89,0.8,26.79,19.53,4.88,2.25,9.3,112
Delhi,2018-05-16,78.74,221.21,16.47,41.79,45.65,43.11,1.11,9.25,54.41,2.59,3.61,0,194
Hyderabad,2017-09-30,41.26,61.2,8.11,17.45,8.92,9.81,0,5.4,34.25,0.12,2.07,0.34,70
Hyderabad,2017-12-04,70.47,119.15,6.46,37.31,24.68,14.3,0.78,12.21,67.63,2.94,9.43,2.43,144
Amaravati,2018-09-04,24.22,86.08,9.81,26.49,22.16,21.11,1.68,11.54,26.93,0.09,0.1,0.1,98
Hyderabad,2019-06-04,24.01,54.95,1.65,23.84,13.87,12.54,0.42,4.5,49.99,0.8,4.6,2.79,75
Visakhapatnam,2016-09-16,24.93,47.83,9.28,25.39,19.28,9.54,0.58,20.6,37.3,4.47,7.64,4.05,65
Delhi,2018-05-08,61,177.71,10.01,27.66,32.84,27.14,1.31,6.97,61.42,1.37,2.67,0,252
Chandigarh,2020-04-07,11.46,40.6,0.98,9.63,5.81,49.62,0.38,7.77,20.86,3.09,0.46,0.86,45
Delhi,2020-02-29,60.01,115.82,9.66,33.98,27.57,34.88,0.83,12.05,37.35,2.42,15.56,2.68,144
Kolkata,2020-06-20,11.11,34.98,4.1,8.06,12.21,11.48,0.34,5.45,18.8,1.59,11.32,1.09,45
Hyderabad,2018-03-16,60.25,134.44,3.98,39.37,23.98,23.84,0.86,14.59,43.99,1.8,11.45,1.92,115
Hyderabad,2018-05-29,34.68,91.62,3.27,28.48,17.59,12.87,0.64,6.41,46.07,1.06,7.43,1.54,84
Visakhapatnam,2020-01-09,73.62,209.75,37.52,58.59,61.67,13.77,1.27,6.94,45.51,8.81,16.09,7.61,153
Amaravati,2019-08-28,15.8,44.75,3.71,12.43,9.71,14.64,0.62,11.3,36.47,0.12,0.95,0.23,92
Visakhapatnam,2016-12-17,69.5,104.08,24.59,65.42,49.38,11.01,1.49,31.48,52.04,8.75,11.76,11.55,119
Delhi,2018-09-27,71.44,171.42,66.23,37.42,73.58,30.7,1.5,12.78,35.24,4.84,60.29,0.06,151
Visakhapatnam,2016-12-23,65.86,96.71,40.45,71.11,52.61,16.19,1.67,20.15,50.28,11.28,18.38,12.22,124
Hyderabad,2020-06-15,13.53,31.78,5.84,19.95,14.57,12.69,0.31,6.19,15.24,0.42,2.91,0.18,33
Kolkata,2020-03-05,34.26,71.62,15.34,33.77,49.13,25.91,0.68,9.3,33.35,7.67,14.45,1.71,89
Delhi,2018-07-02,34.24,122.23,7.87,25.74,22.61,36.17,0.65,8.82,33.79,0.98,15.01,0.37,111
Hyderabad,2016-11-28,63.92,103.2,7.48,5.31,3.59,4.08,0.49,42.29,57.06,0.02,0.46,0.05,105
Hyderabad,2016-04-28,44.3,89.26,11.41,34.53,32.21,31.97,0.51,8.18,34.32,0.44,2.87,0.43,110
Amaravati,2019-08-02,6.85,13.3,1.61,1.52,1.86,2.44,0.46,13.29,18.07,0.04,0.26,0.1,68
Visakhapatnam,2019-01-31,57.58,106.17,2.8,35.5,21.16,11.43,0.7,7.14,89.74,2.11,3.9,0.82,117
Visakhapatnam,2019-09-19,9.76,27.66,3.26,9.06,7.46,3.87,0.43,14.52,36.58,0.51,2.81,0.96,43
Visakhapatnam,2019-04-22,29.58,78.81,8.56,33.58,24.82,6.46,0.65,3.6,23.29,2.45,5.58,1.07,85
Delhi,2019-01-08,156.26,242.02,31.32,48.95,54.76,49.69,1.31,14.67,27.37,4.16,24.24,0.4,340
Chandigarh,2020-03-20,24.17,78.67,9.26,12.79,14.12,75.77,0.76,14.03,14.31,6.09,0.34,1.06,79
Delhi,2019-10-29,287.56,440.77,58.36,60.03,86.74,49,2.43,12.71,33.2,5.79,37.17,2.2,419
Amaravati,2019-01-07,121.47,215.5,17.24,103.31,68.98,13.63,1.5,16.53,24.55,0.12,0.31,0.1,302
Patna,2020-02-13,102.24,203.79,51.42,54.59,103.98,40.76,1.26,7.07,19.95,3,12.38,2.93,211
Amritsar,2019-06-09,39.17,86.77,16.07,10.66,19.45,11.16,1.09,20.21,25.17,4.65,1.92,9.68,94
Delhi,2017-10-20,426.52,387.13,56.28,54.76,47.28,48.79,1.06,36.85,41.14,2.15,5.54,0.07,497
Amaravati,2019-10-26,11.82,27.75,3.59,11.1,8.92,7.35,0.72,9.54,24.82,0.2,3.1,0.22,69
Hyderabad,2017-05-26,43.73,135.42,4.5,47.81,11.47,23.05,0.1,7.28,45.06,0.03,0.54,0.35,119
Kolkata,2019-08-17,20.92,26.95,7.49,19.29,27,14.84,0.57,2.14,15.6,38.98,9.96,3.1,48
Delhi,2015-02-23,141.39,157.01,21.95,38.23,42.71,36.38,9.29,9.43,36.86,2.02,11.23,10.87,281
Visakhapatnam,2019-05-28,39.54,117.65,12.21,51.29,37.33,1.9,1.06,18,29.81,3.99,6.75,1.6,106
Delhi,2019-08-30,43.5,105.68,12.89,32.44,30.15,33.69,1.02,9.33,39.25,1.93,18.03,0.71,110
Visakhapatnam,2018-10-28,44.31,107.47,3.41,22.51,14.74,10.49,0.61,7.37,128.93,3.12,5.67,1.27,182
Hyderabad,2017-11-21,44.65,87.99,10.73,39.07,28.86,15.12,0.81,8.34,40.93,5.34,21.33,6.5,106
Amritsar,2020-04-27,11.2,42.21,38.1,32.33,46.31,19.36,0.75,6.42,44.12,1.25,1.06,8.48,51
Delhi,2018-11-01,236.67,416.97,106.68,71.63,133.14,58.01,2.97,20.12,45.98,10.79,94.12,3.76,433
Visakhapatnam,2016-09-02,26.88,74.2,9.94,30.88,22.46,8.49,0.64,36.41,39.52,6.53,10.93,5.11,71
Amaravati,2018-02-21,38.5,106.7,4.5,16.82,12.69,19.54,0.58,11.02,26.62,0.1,2.68,0.11,100
Visakhapatnam,2019-06-17,33.4,100.52,12.51,53.01,38.49,5.01,0.78,9.52,17.89,6.24,22.56,4.13,109
Visakhapatnam,2019-11-22,53.08,100.93,2.99,33.47,20.15,10.77,0.75,8.3,84.27,3.99,10.49,1.62,106
Hyderabad,2019-09-29,33.27,65.29,5.55,21.56,13.85,7.79,0.62,2.47,15.67,0.61,4,0.42,63
Hyderabad,2020-05-15,24.12,56.89,6.46,23.33,16.59,10.57,0.34,5.38,27.84,1.34,9.9,0.82,60
Delhi,2020-01-23,74.45,137.61,15.4,35.26,33.47,36.32,0.79,8.71,27.73,2.52,14.04,0.07,273
Hyderabad,2017-06-26,11.79,38.79,7.45,10.8,5.9,4.3,0.14,5.22,33.43,0,0.18,0,63
Visakhapatnam,2020-05-14,11.88,45.86,2.73,11.76,8.43,12.04,0.11,7.66,14.72,1.8,7.74,0.63,50
Patna,2020-06-01,17.45,80.29,15.54,13.91,11.71,3.99,0.46,9.38,50.42,1.74,3.32,2.4,110
Amaravati,2020-05-24,18.09,60.29,1.41,4.2,3.39,10.29,0.45,8.1,48,5.09,0.2,4.95,66
Amaravati,2019-08-10,13.49,37.83,2.45,7.57,6.12,7.17,0.5,19.01,27.18,0.29,0.78,0.28,70
Hyderabad,2019-12-17,69.16,129.71,13.06,45.94,33.48,17.47,0.84,6.06,24.37,1.48,9.42,0.3,120
Hyderabad,2017-08-13,17.08,37.86,9.71,15.64,9.5,6.28,0.22,4.33,26.67,0.54,2.16,0.41,55
Amritsar,2019-11-03,155.83,305.4,17.13,10.98,27.05,13.26,0.34,9.75,14.51,2.75,3.41,2,302
Hyderabad,2017-09-14,10.44,17.55,8.51,15.62,7.61,4.67,0.05,5.09,34.13,0.36,2.49,0.83,60
Amaravati,2019-05-18,35.3,89.42,0.8,17.33,9.84,4.32,0.47,17.09,44.47,0.06,1.16,0.11,95
Visakhapatnam,2020-03-18,33.01,98.93,7.6,48.77,31.98,10.82,0.96,7.57,15.32,4.84,19,3.39,105
Delhi,2017-12-27,224.27,317.87,58.71,65.61,9.76,71.71,1.69,23.17,58.98,5.95,18.27,0.03,379
Amaravati,2018-02-23,35.36,107.25,6.13,17.75,14.52,16.57,0.85,10.87,23.99,0.09,2.92,0.2,114
Hyderabad,2019-07-31,10.95,24.67,3.45,13.33,9.93,10.54,0.37,9.55,16.46,0.21,1.16,0.09,37
Visakhapatnam,2020-01-17,43.36,81.3,2.81,25.07,15.46,10.51,1.03,9.53,59.04,3.12,4.01,0.96,128
Amritsar,2020-04-26,14.78,54.18,19.74,15.44,29.59,12.11,0.69,11.17,43.02,1.3,1.1,5.05,60
Delhi,2015-10-08,148.44,291.66,35.13,58.32,80.91,29.59,1.96,12.13,66.62,5.52,14.13,3.36,388
Amaravati,2019-05-11,35.5,98.4,1.74,19.29,11.72,6.98,0.59,17.83,49.82,0.33,1.68,0.12,106
Visakhapatnam,2019-10-02,26.46,89.36,39.38,42.8,54.78,15.67,1.24,15.85,15.7,6.83,22.83,6.64,97
Visakhapatnam,2019-05-24,29.8,104.97,9.9,29.1,23.53,5.34,0.77,11.11,13.22,1.88,2.5,0.54,101
Visakhapatnam,2019-12-01,56.81,94.56,2.49,23.67,14.62,10.36,0.74,8.46,78.8,4.28,6.69,0.87,102
Visakhapatnam,2016-08-20,33.73,102.06,8.33,33.98,22.76,13.38,1.02,35.43,42.24,5.64,11.25,3.95,102
Hyderabad,2020-04-26,29.9,59.77,6.85,20.64,15.56,15.52,0.42,4.27,25.52,1.21,7.86,0.28,71
Visakhapatnam,2019-06-04,42.08,113.64,18.3,50.29,41.75,3.73,0.86,9.46,16.86,5.72,17.77,4.03,109
Hyderabad,2017-05-06,38.11,89.14,5.12,25.56,7.62,24.02,0.11,11.54,50.37,0.03,0.64,0.17,122
Amritsar,2020-04-30,23.98,112.59,25.07,17.26,34.95,13.57,0.76,8.5,43.57,1.3,1.1,8.81,102
Amritsar,2018-10-24,61.79,184.57,25.79,24.41,49.42,14.69,0.01,6.63,21.24,12.82,1.46,8.39,152
Amritsar,2017-10-21,148.47,318.1,12.04,32.77,44.81,48.33,1.17,4.9,12.08,3.47,7.42,27.97,320
Delhi,2019-07-06,34.25,87.5,12.04,29.91,26.12,36.77,1,10.18,33.71,1.93,15.95,0.56,99
Amaravati,2019-08-07,7.35,18.12,3.22,6.38,6.1,6.23,0.46,11.57,21.64,0.22,0.5,0.1,66
Patna,2020-02-15,65.2,162.21,49.57,51.63,96.69,41.95,0.83,6.54,17.62,2.69,8.9,2.69,176
Patna,2020-03-28,31.87,87.38,47.07,43.29,59.88,12.38,1.49,11.73,15.88,0.48,3.88,0.3,122
Hyderabad,2020-04-05,30.18,57.17,5.19,16.71,12.2,11.57,0.44,8.36,27.81,1.16,4.52,0.18,66
Hyderabad,2018-02-10,52.28,119.66,7.15,53.5,32.19,37.24,0.82,13.07,29.39,2.59,16.88,3.04,113
Visakhapatnam,2020-05-02,23.14,78.4,0.73,23.73,13.11,8.82,0.11,6.94,38.06,4.28,8.47,2.37,62
